Scenario,AMR004,TRN111,FTR029,FTR003,MOK028,MCD005,SAC000,SAC049,SAC122,SAC148,SAC257,SJR127,SAC289,SJR070,STS011,TUO003,YUB002
s0011,3,3,4,3,3,4,3,3,3,3,3,3,3,2,3,3,3
s0020,3,3,4,3,3,4,3,3,3,3,3,3,3,2,3,3,3
s0021,3,3,4,3,3,4,3,3,3,3,3,3,3,2,3,3,3
s0023,3,3,4,3,3,4,3,3,3,3,3,3,3,2,3,3,3
s0024,3,3,4,3,3,4,3,3,3,3,3,3,3,2,3,3,3
s0025,3,3,4,3,3,4,3,3,3,3,3,3,3,2,3,3,4
s0026,3,3,4,3,3,4,3,3,3,3,3,3,3,2,3,3,3
s0027,3,3,4,3,3,4,3,3,3,3,3,3,3,2,3,3,4
s0028,3,3,4,3,3,4,3,3,3,3,3,3,3,2,3,3,3
s0030,3,4,4,3,4,4,2,1,3,3,3,3,3,2,1,3,3
s0031,3,3,4,3,3,2,3,2,2,2,3,3,3,2,3,3,3
s0032,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,4
s0033,3,3,4,3,3,2,3,2,2,2,3,3,3,2,3,3,3
s0035,3,3,4,3,3,4,3,3,3,3,3,3,3,2,3,3,3
s0036,3,3,4,3,3,4,3,3,3,3,3,3,3,2,3,3,3
s0037,3,3,4,3,3,4,3,3,3,3,3,3,3,2,3,3,3
s0039,3,3,3,3,3,4,3,3,3,3,3,3,3,2,2,3,3
s0040,3,3,3,3,3,4,3,3,3,3,3,3,3,2,2,3,3
s0041,3,3,3,3,3,4,3,3,3,3,3,3,3,2,2,3,3
s0042,3,3,3,3,3,4,3,3,3,3,3,3,3,2,2,3,3
s0044,3,3,4,3,3,4,3,3,3,3,3,3,3,2,3,3,3
s0045,3,3,4,3,3,4,3,3,3,3,3,3,3,2,3,3,3
s0046,1,1,1,1,2,2,2,1,1,1,1,2,1,2,2,1,3
s0047,3,3,4,2,3,3,2,2,2,2,3,3,3,2,2,2,2
s0048,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
s0049,3,3,4,3,3,3,3,3,3,3,3,3,3,2,3,3,3
s0050,3,3,4,3,3,3,3,3,3,3,3,3,3,2,3,3,3
s0051,3,3,4,2,4,3,2,2,2,2,1,3,3,2,2,3,2
s0056,3,3,4,2,3,3,3,2,2,2,3,3,3,2,2,3,2
s0057,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
s0058,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
s0059,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3
s0060,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3
s0062,3,3,4,2,3,3,2,2,2,2,1,3,1,2,2,2,4
s0063,3,3,4,2,3,3,3,2,2,2,1,3,2,2,2,3,4
s0065,3,3,4,3,3,4,3,3,3,3,3,3,3,2,3,3,3
s0067,3,3,4,3,3,3,3,3,3,3,3,3,3,2,3,3,4
s0068,3,3,4,3,3,3,3,3,3,3,3,3,3,2,3,3,3
s0069,3,3,4,3,3,3,3,3,3,3,3,3,3,2,3,3,3
s0071,3,4,4,3,4,4,2,1,3,3,3,3,3,3,3,3,4
s0072,3,3,4,3,3,2,3,2,2,2,3,3,3,2,3,3,3
s0073,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,4
s0074,3,3,4,3,3,2,3,3,3,3,3,3,3,2,3,3,3
s0075,3,3,4,3,3,3,3,3,3,3,3,3,3,2,3,3,3
s0076,3,3,4,3,3,3,3,3,3,3,3,3,3,2,3,3,3
s0077,3,3,4,3,3,3,3,3,3,3,3,3,3,2,3,3,3
s0078,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
s0079,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
s0080,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
s0081,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
s0082,3,3,4,3,3,3,3,3,3,3,3,3,3,2,3,3,3
s0083,3,3,4,3,3,3,3,3,3,3,3,3,3,2,3,3,3
